10	Preparatory systems
90-15-35/330	Dual coil hot water storage cylinders	90-15-35
90-15-35/340	Indirectly heated unvented hot water storage	90-15-35
90-15-35/350	Indirect hot water storage cylinders, double feed	90-15-35
90-15-35/360	Indirect hot water storage cylinders, single feed	90-15-35
90-15-35/370	Double feed indirect insulated combination units	90-15-35
90-15-35/380	Single feed indirect insulated combination units	90-15-35
90-15-35/390	Instantaneous shower units, electric	90-15-35
90-15-35/400	Instantaneous water heaters, electric	90-15-35
90-15-35/410	Instantaneous water heaters, gas fired	90-15-35
90-15-35/420	Instantaneous water heaters, packaged plate heat exchangers	90-15-35
90-15-35/430	Buffer vessel	90-15-35
90-15-35/440	Storage water heaters, electric	90-15-35
90-15-35/450	Storage water heaters, gas fired	90-15-35
90-15-35/460	Immersion heaters	90-15-35
90-15-35/470	Flush control devices	90-15-35
90-15-35/480	Water coolers	90-15-35
90-15-40	Irrigation products	90-15
90-15-40/311	Anemometers	90-15-40
90-15-40/313	Irrigation controls	90-15-40
90-15-40/321	Air valves	90-15-40
90-15-40/323	Check valves	90-15-40
90-15-40/325	Isolating valves	90-15-40
90-15-40/327	Plastics isolating valves	90-15-40
90-15-40/329	Control valves	90-15-40
90-15-40/331	Volumetric control valves	90-15-40
90-15-40/341	Injectors	90-15-40
90-15-40/401	Capillary matting	90-15-40
90-15-40/403	Layered irrigation matting	90-15-40
90-15-40/405	Micro-perforated polyethylene sheets	90-15-40
90-15-40/421	Flat hoses	90-15-40
90-15-40/423	Irrigation hoses	90-15-40
90-15-40/425	Lateral pipelines	90-15-40
90-15-40/427	Porous pipelines	90-15-40
90-15-40/429	Micro distribution pipelines	90-15-40
90-15-40/431	Modular irrigation reservoirs	90-15-40
90-15-40/432	Sealed irrigation reservoirs	90-15-40
90-15-40/433	Tree irrigation rings	90-15-40
90-15-40/441	Bubblers	90-15-40
90-15-40/443	Drippers	90-15-40
90-15-40/445	Misters	90-15-40
90-15-40/447	Rain guns	90-15-40
90-15-40/449	Rotary impact sprinklers	90-15-40
90-15-40/451	Spray jets	90-15-40
90-15-40/491	Weatherproof equipment enclosures	90-15-40
90-15-75	Swimming pool water treatment products	90-15
90-15-75/310	Flow meters	90-15-75
90-15-75/320	Alkalinity dosing units	90-15-75
90-15-75/330	Coagulant dosing units	90-15-75
90-15-75/340	Disinfectant dosing units	90-15-75
90-15-75/350	pH control dosing units	90-15-75
90-15-75/360	Basket filters	90-15-75
90-15-75/370	Cartridge filters	90-15-75
90-15-75/380	Diatomaceous earth filters	90-15-75
90-15-75/390	Pressure filters	90-15-75
90-15-75/410	Pool water inlets and outlets	90-15-75
90-15-75/440	Disinfectant sensors	90-15-75
90-15-75/450	ph value sensors	90-15-75
90-15-75/470	Strainers for pool water	90-15-75
90-15-75/480	Spares	90-15-75
90-15-95	Water treatment products	90-15
90-15-95/310	Biodispersant chemicals	90-15-95
90-15-95/315	Corrosion inhibitor chemicals	90-15-95
90-15-95/320	Dispersant chemicals	90-15-95
90-15-95/325	Non-oxidizing biocides	90-15-95
90-15-95/330	Oxidizing biocides	90-15-95
90-15-95/335	pH control chemicals	90-15-95
90-15-95/340	Scale inhibitor chemicals	90-15-95
90-15-95/350	Dosing pots	90-15-95
90-15-95/360	Electrodialysis units	90-15-95
90-15-95/370	Filtration units	90-15-95
90-15-95/380	Ion exchange demineralization units	90-15-95
90-15-95/390	Ion exchange softening units	90-15-95
90-15-95/400	Magnetic water conditioners	90-15-95
90-15-95/410	Nitrate removal devices for drinking water	90-15-95
90-15-95/420	Reverse osmosis units	90-15-95
90-15-95/430	Ultra-violet light disinfection units	90-15-95
90-15-95/440	Grey water filtration	90-15-95
90-15-95/450	Rainwater harvesting filtration	90-15-95
90-20	Steam products	90
90-20-75	Steam and condensate products	90-20
90-20-75/310	Austenitic stainless steel separators	90-20-75
90-20-75/315	Carbon steel separators	90-20-75
90-20-75/320	Cast iron separators	90-20-75
90-20-75/325	SG iron separators	90-20-75
90-20-75/330	Stainless steel separators	90-20-75
90-20-75/335	Balanced pressure steam traps	90-20-75
90-20-75/340	Ball float steam traps	90-20-75
90-20-75/345	Bimetallic steam traps	90-20-75
90-20-75/350	Inverted bucket steam traps	90-20-75
90-20-75/355	Thermodynamic steam traps	90-20-75
90-20-75/360	Thermostatic steam traps	90-20-75
90-20-75/365	Sensors	90-20-75
90-20-75/370	Sensor chambers	90-20-75
90-20-75/375	Double window sight glasses	90-20-75
90-20-75/380	Multi window sight glasses	90-20-75
90-20-75/385	Single window sight glasses	90-20-75
90-20-75/390	Combined sight glass and check valves	90-20-75
90-20-75/395	Bourdon tube pressure gauges	90-20-75
90-20-75/400	Automatic condensate pumps	90-20-75
90-20-75/415	Automatic condensate pump packaged units	90-20-75
90-20-75/420	Electric powered condensate recovery units	90-20-75
90-20-75/425	Packaged clean steam generators	90-20-75
90-20-75/430	Blowdown vessels	90-20-75
90-20-75/435	Feedtanks	90-20-75
90-20-75/440	Flash steam recovery vessels	90-20-75
90-20-75/445	Level controls and alarms	90-20-75
90-20-75/450	Sample coolers	90-20-75
90-20-75/455	Vacuum breakers	90-20-75
90-20-80	Steam valves	90-20
90-20-80/310	Air vents	90-20-80
90-20-80/315	Angle strainers	90-20-80
90-20-80/320	Y-type strainers	90-20-80
90-20-80/325	Ball stop valves	90-20-80
90-20-80/330	Bellows sealed stop valves	90-20-80
90-20-80/335	Globe stop valves	90-20-80
90-20-80/340	Piston stop valves	90-20-80
90-20-80/345	Blowdown valves	90-20-80
90-20-80/350	Direct acting bellows sealed pressure reducing valves	90-20-80
90-20-80/355	Direct acting pressure reducing valves	90-20-80
90-20-80/360	Pilot operated pressure reducing valves	90-20-80
90-20-80/365	Excess pressure valves	90-20-80
90-20-80/370	Pressure reducing and surplussing valves	90-20-80
90-20-80/375	Pressure surplussing valves	90-20-80
90-20-80/380	Disc check valves	90-20-80
90-20-80/385	Lift check valves	90-20-80
90-20-80/390	Split disc check valves	90-20-80
90-20-80/395	Wafer check valves	90-20-80
90-20-80/400	Electrically actuated control valves	90-20-80
90-20-80/405	Pneumatically actuated control valves	90-20-80
90-20-80/410	Self-acting temperature control systems	90-20-80
90-20-80/415	Self-acting control valves	90-20-80
90-20-80/420	Self-operating control valves	90-20-80
90-20-80/425	Temperature and pressure control valves	90-20-80
90-20-80/430	Full lift safety valves	90-20-80
90-20-80/435	Pop safety valves	90-20-80
90-25	Liquid fuel supply products	90
90-25-45	Liquid fuel supply products	90-25
90-25-45/310	Anti-syphon valves	90-25-45
90-25-45/320	De-aeration devices	90-25-45
90-25-45/330	Filters	90-25-45
90-25-45/340	Remote acting fire safety valves	90-25-45
90-25-45/350	Strainers	90-25-45
90-25-45/360	Water separators	90-25-45
90-25-50	Liquid fuel tanks	90-25
90-25-50/310	Contents gauges	90-25-50
90-25-50/315	Drip trays	90-25-50
90-25-50/320	Fill points	90-25-50
90-25-50/330	Generator day tanks	90-25-50
90-25-50/340	Carbon steel liquid fuel service tanks	90-25-50
90-25-50/345	Glass reinforced plastics liquid fuel service tanks	90-25-50
90-25-50/350	Carbon steel liquid fuel storage tanks	90-25-50
90-25-50/355	Glass reinforced plastics liquid fuel storage tanks	90-25-50
90-25-50/360	Carbon steel oil service tanks	90-25-50
90-25-50/365	Plastics oil service tanks	90-25-50
90-25-50/370	Carbon steel oil storage tanks	90-25-50
90-25-50/375	Plastics oil storage tanks	90-25-50
90-25-50/380	Overfill alarms and overfill prevention devices	90-25-50
90-25-50/385	Outflow heaters	90-25-50
90-25-50/395	Plastics petrol and diesel service tanks	90-25-50
90-25-50/405	Plastics petrol and diesel storage tanks	90-25-50
90-25-50/410	Sight glasses	90-25-50
90-25-50/420	Tank heaters	90-25-50
90-30	Gas supply products	90
90-30-10	Compressed air products	90-30
90-30-10/310	Air cooled aftercoolers	90-30-10
90-30-10/315	Water cooled aftercoolers	90-30-10
90-30-10/320	Air preparation units	90-30-10
90-30-10/325	Air receivers	90-30-10
90-30-10/330	Blow protectors	90-30-10
90-30-10/335	Compressors	90-30-10
90-30-10/340	Compressed gas cylinders	90-30-10
90-30-10/345	Couplings	90-30-10
90-30-10/350	Desiccant dryers	90-30-10
90-30-10/355	Refrigerant dryers	90-30-10
90-30-10/360	Hose reel balancers	90-30-10
90-30-10/365	Hose reels	90-30-10
90-30-10/370	Hoses, coil	90-30-10
90-30-10/375	Hoses, spiral	90-30-10
90-30-10/380	In line filters	90-30-10
90-30-10/385	Oil/ water separators	90-30-10
90-30-10/390	Pressure reducing stations	90-30-10
90-30-35	Gas supply products	90-30
90-30-35/310	Anaerobic digesters	90-30-35
90-30-35/320	Gas solenoid valves	90-30-35
90-30-35/330	Mechanical gas safety valves	90-30-35
90-30-35/340	Gas boosters	90-30-35
90-30-35/350	Gas filters	90-30-35
90-30-35/360	Gas pressure switches	90-30-35
90-30-35/370	Safety and control devices	90-30-35
90-30-45	Laboratory gas products	90-30
90-30-45/310	Compressed gas cylinders	90-30-45
90-30-45/315	Liquid cylinders	90-30-45
90-30-45/320	Vacuum insulated evaporator (VIE) storage vessels	90-30-45
90-30-45/325	Hydrogen generators	90-30-45
90-30-45/330	Nitrogen generators	90-30-45
90-30-45/335	Pressure reducing stations	90-30-45
90-30-45/340	Laboratory taps	90-30-45
90-30-45/345	Gas alarms	90-30-45
90-30-50	LPG products	90-30
90-30-50/310	Storage vessels	90-30-50
90-30-50/320	Filling connection	90-30-50
90-30-50/330	Pressure relief valves	90-30-50
90-30-50/340	Shut off valves and emergency valves	90-30-50
90-30-50/350	Pipelines	90-30-50
90-30-50/360	Components for LPG installations	90-30-50
90-30-50/370	Pressure regulators	90-30-50
90-30-50/380	Vaporizers	90-30-50
90-30-50/390	Vapour meters	90-30-50
90-30-50/400	Insulation of LPG vapour distribution	90-30-50
90-30-50/410	Pumps and electric motors	90-30-50
90-30-50/420	Trace heating of LPG vapour distribution	90-30-50
90-30-55	Medical gas products	90-30
90-30-55/310	Medical gases products generally	90-30-55
90-30-55/312	Compressed gas cylinders	90-30-55
90-30-55/314	Liquid oxygen cylinders	90-30-55
90-30-55/316	Compressors	90-30-55
90-30-55/318	Exhauster units	90-30-55
90-30-55/320	Remote start switch panels	90-30-55
90-30-55/322	Medical vacuum plant	90-30-55
90-30-55/324	Vacuum flow regulating valves	90-30-55
90-30-55/326	Pressure swing adsorption (PSA) plant	90-30-55
90-30-55/328	Vacuum insulated evaporator (VIE) storage vessels	90-30-55
90-30-55/330	Emergency supply manifolds	90-30-55
90-30-55/332	Medical gases copper tubes	90-30-55
90-30-55/334	Medical gases line valves	90-30-55
90-30-55/336	Pressure reducing stations	90-30-55
90-30-55/338	Area service modules	90-30-55
90-30-55/340	Area valve service units	90-30-55
90-30-55/342	Medical gases area alarms	90-30-55
90-30-55/344	Medical gases central alarms	90-30-55
90-30-55/346	Terminal units	90-30-55
90-30-55/348	Headwall bedhead units	90-30-55
90-30-55/350	Medical trunking bedhead units	90-30-55
90-30-55/352	Flexible pendants	90-30-55
90-30-55/354	Multi-movement pendants	90-30-55
90-30-55/356	Retractable pendants	90-30-55
90-30-55/358	Rigid pendants	90-30-55
90-35	Fire fighting products	90
90-35-30	Foam fire fighting products	90-35
90-35-30/310	Foam fire fighting tanks	90-35-30
90-35-30/320	Foam inlet adaptors	90-35-30
90-35-30/330	Foam inlet boxes	90-35-30
90-35-30/340	Foam proportioners	90-35-30
90-35-30/350	Foam sprinklers	90-35-30
90-35-30/360	Fusible links	90-35-30
90-35-30/370	Instantaneous male couplings	90-35-30
90-35-35	Gas fire fighting products	90-35
90-35-35/310	Check valves and non-return valves	90-35-35
90-35-35/315	Container valve assemblies with actuators	90-35-35
90-35-35/320	Control panels	90-35-35
90-35-35/325	Electrical actuation	90-35-35
90-35-35/330	Mechanical actuation	90-35-35
90-35-35/335	Manual triggering and stop devices	90-35-35
90-35-35/340	Electrical automatic control and delay devices	90-35-35
90-35-35/345	Non-electrical automatic control and delay devices	90-35-35
90-35-35/350	Non-electrical disable devices	90-35-35
90-35-35/355	Flexible connectors	90-35-35
90-35-35/360	High pressure storage cylinders	90-35-35
90-35-35/365	Low pressure storage cylinders	90-35-35
90-35-35/370	High and low pressure selector valves with actuators	90-35-35
90-35-35/375	Hose reels	90-35-35
90-35-35/380	Nozzles for carbon dioxide systems	90-35-35
90-35-35/385	Nozzles for halocarbons and inert gas fire-extinguishing systems	90-35-35
90-35-35/390	Odorizing devices	90-35-35
90-35-35/400	Operating tools	90-35-35
90-35-35/405	Pneumatic alarm devices	90-35-35
90-35-35/410	Pressure gauges and pressure switches	90-35-35
90-35-95	Water fire fighting products	90-35
90-35-95/310	Alarm valves for sprinkler systems	90-35-95
90-35-95/315	Control panels	90-35-95
90-35-95/320	Control valves for water mist	90-35-95
90-35-95/325	Deluge valves	90-35-95
90-35-95/330	Non-return valves	90-35-95
90-35-95/335	Emergency tank fill connections	90-35-95
90-35-95/340	Hose reels	90-35-95
90-35-95/345	Inlet breechings and boxes	90-35-95
90-35-95/350	Landing valves and boxes for dry risers	90-35-95
90-35-95/355	Landing valves for wet risers	90-35-95
90-35-95/360	Caps and chains	90-35-95
90-35-95/365	Leather straps	90-35-95
90-35-95/370	Couplings	90-35-95
90-35-95/375	Nozzles	90-35-95
90-35-95/380	Medium velocity nozzles	90-35-95
90-35-95/385	High velocity nozzles	90-35-95
90-35-95/390	Sprinkler heads	90-35-95
90-35-95/395	Surface boxes	90-35-95
90-35-95/400	Underground fire hydrants	90-35-95
90-35-95/410	Multiple controls	90-35-95
90-35-95/420	Automatic sprinkler system electric pump control panels	90-35-95
90-40	Heating and cooling products	90
90-40-05	Boilers	90-40
90-40-05/310	Dual fuel fired cast iron boilers	90-40-05
90-40-05/320	Dual fuel fired steel shell boilers	90-40-05
90-40-05/330	Gas fired boilers	90-40-05
90-40-05/340	Gas fired condensing boilers	90-40-05
90-40-05/350	Gas fired cast iron boilers	90-40-05
90-40-05/360	Gas fired steel shell boilers	90-40-05
90-40-05/370	Gas fired steam boilers	90-40-05
90-40-05/380	Oil fired cast iron boilers	90-40-05
90-40-05/390	Oil fired steel shell boilers	90-40-05
90-40-05/400	Oil fired steam boilers	90-40-05
90-40-05/410	Solid fuel fired cast iron boilers	90-40-05
90-40-05/420	Solid fuel fired steel shell boilers	90-40-05
90-40-10	Chillers and cooling towers	90-40
90-40-10/310	Safety and environmental requirements	90-40-10
90-40-10/320	Air cooled condensing units	90-40-10
90-40-10/330	Air cooled liquid chillers	90-40-10
90-40-10/340	Direct fired absorption liquid chillers	90-40-10
90-40-10/350	Steam fired absorption liquid chillers	90-40-10
90-40-10/360	Water cooled liquid chillers	90-40-10
90-40-10/370	Chilled water buffer vessels	90-40-10
90-40-10/380	Closed circuit cooling towers	90-40-10
90-40-10/390	Open circuit cooling towers	90-40-10
90-40-10/400	Dry air coolers	90-40-10
90-40-10/410	Hot water fired absorption liquid chillers	90-40-10
90-40-10/420	Indoor refrigeration units	90-40-10
90-40-15	Climatic beams and ceilings	90-40
90-40-15/310	Climatic beams, active	90-40-15
90-40-15/320	Climatic beams, passive	90-40-15
90-40-15/330	Climatic beams, multi-service	90-40-15
90-40-15/340	Climatic ceiling panels	90-40-15
90-40-15/350	Climatic ceilings and beams off site testing	90-40-15
90-40-30	Flues and chimneys	90-40
90-40-30/310	Metal flues and chimneys	90-40-30
90-40-30/320	Liners	90-40-30
90-40-30/330	Smoke alarms	90-40-30
90-40-35	Heat emitters	90-40
90-40-35/310	Air curtains	90-40-35
90-40-35/320	Cabinet direct heaters	90-40-35
90-40-35/325	Cabinet indirect heaters	90-40-35
90-40-35/335	Fan convectors	90-40-35
90-40-35/345	Gas fires	90-40-35
90-40-35/350	Gas fires, decorative fuel effect	90-40-35
90-40-35/355	Gas fires, inset live fuel effect	90-40-35
90-40-35/365	Gas fired unit heaters	90-40-35
90-40-35/380	Heated towel rails, LTHW	90-40-35
90-40-35/385	Heated towel rails, electric	90-40-35
90-40-35/395	Natural convectors	90-40-35
90-40-35/405	Radiators	90-40-35
90-40-35/415	Radiant luminous heaters	90-40-35
90-40-35/425	Radiant panels	90-40-35
90-40-35/435	Radiant tube heaters	90-40-35
90-40-35/450	Room heaters	90-40-35
90-40-35/460	Thermal storage heaters	90-40-35
90-40-35/475	Trench heating	90-40-35
90-40-35/485	Unit heaters	90-40-35
90-40-35/495	Electric underfloor heating	90-40-35
90-40-40	Heat pumps	90-40
90-40-40/310	Air to air heat pumps	90-40-40
90-40-40/320	Air to water heat pumps	90-40-40
90-40-40/330	Gas engine driven heat pumps	90-40-40
90-40-40/340	Gas fired absorption heat pumps	90-40-40
90-40-40/350	Water to air heat pumps	90-40-40
90-40-40/360	Water to water heat pumps	90-40-40
90-40-40/370	Ground heat exchangers	90-40-40
90-40-45	Heating calorifiers and plate heat exchangers	90-40
90-40-45/310	Hot water non-storage calorifiers	90-40-45
90-40-45/330	Plate heat exchangers	90-40-45
90-40-45/350	Steam non-storage calorifiers	90-40-45
90-40-75	Solar collectors	90-40
90-40-75/310	Evacuated tube collectors	90-40-75
90-40-75/320	Flat plate collectors	90-40-75
90-40-75/330	Control units	90-40-75
90-40-75/340	Expansion vessels	90-40-75
90-40-75/350	Solar tracking	90-40-75
90-40-75/360	Heat store	90-40-75
90-40-80	Solid fuel handling products	90-40
90-40-80/310	Fuel handling equipment	90-40-80
90-40-80/320	Ash handling equipment	90-40-80
90-40-95	Variable refrigerant products	90-40
90-40-95/310	Electric driven compressors	90-40-95
90-40-95/320	Gas engine driven compressors	90-40-95
90-40-95/330	Indoor units	90-40-95
90-45	Air handling products	90
90-45-05	Air conditioning units	90-45
90-45-05/310	Evaporative cooling units	90-45-05
90-45-05/320	Fan coil units	90-45-05
90-45-05/330	Induction units	90-45-05
90-45-05/340	Local air conditioning units	90-45-05
90-45-05/350	Room air conditioning units	90-45-05
90-45-05/360	Split coil room air conditioning units	90-45-05
90-45-05/370	Split coil remote air cooled condensing units	90-45-05
90-45-05/380	Terminal fan units	90-45-05
90-45-10	Air filters	90-45
90-45-10/310	Activated carbon filters	90-45-10
90-45-10/320	Efficient particulate arrestor (EPA) filters	90-45-10
90-45-10/330	Electrostatic precipitators	90-45-10
90-45-10/340	High efficiency particle arrestor (HEPA) filters	90-45-10
90-45-10/350	Mesh filters	90-45-10
90-45-10/360	Primary filters	90-45-10
90-45-10/370	Primary grease filters	90-45-10
90-45-10/380	Secondary filters	90-45-10
90-45-10/390	Secondary grease filters	90-45-10
90-45-10/400	Ultra low particle arrestor (ULPA) filters	90-45-10
90-45-10/440	Pressure gauges	90-45-10
90-45-10/450	Safe change filter changing units	90-45-10
90-45-10/460	Terminal filter housings	90-45-10
90-45-10/470	Spares	90-45-10
90-45-15	Air handling units	90-45
90-45-15/310	Air handling unit	90-45-15
90-45-15/320	Air handling unit casing construction	90-45-15
90-45-15/330	Air handling unit access	90-45-15
90-45-15/350	Air control dampers	90-45-15
90-45-15/360	Drain lines	90-45-15
90-45-20	Air terminal devices	90-45
90-45-20/310	Air transfer grilles	90-45-20
90-45-20/320	Diffusers	90-45-20
90-45-20/330	Displacement ventilation diffusers	90-45-20
90-45-20/340	Floor linear diffusers	90-45-20
90-45-20/350	Linear diffusers	90-45-20
90-45-20/360	Swirl diffusers	90-45-20
90-45-20/370	External louvres	90-45-20
90-45-20/380	Grilles	90-45-20
90-45-20/390	Laminar flow panels	90-45-20
90-45-20/400	Ceiling or wall mounted plenum boxes	90-45-20
90-45-20/410	Floor mounted plenum boxes	90-45-20
90-45-20/420	Roof ridge terminals	90-45-20
90-45-20/430	Roof slope terminals	90-45-20
90-45-20/440	Roof stack terminals	90-45-20
90-45-20/450	Specialist air terminal devices	90-45-20
90-45-20/460	Ventilated ceilings	90-45-20
90-45-20/470	Ventilated ceilings for kitchens	90-45-20
90-45-20/480	Spares	90-45-20
90-45-25	Ductwork	90-45
90-45-25/310	Circular plastics ductwork and fittings	90-45-25
90-45-25/315	Circular sheet metal ductwork and fittings	90-45-25
90-45-25/320	Fire rated and smoke extract ductwork and fittings	90-45-25
90-45-25/325	Flat oval sheet metal ductwork and fittings	90-45-25
90-45-25/330	Glass fibre ductwork and fittings	90-45-25
90-45-25/340	Kitchen canopies	90-45-25
90-45-25/350	Pre-insulated ductwork and fittings	90-45-25
90-45-25/360	Rectangular plastics ductwork and fittings	90-45-25
90-45-25/365	Rectangular sheet metal ductwork and fittings	90-45-25
90-45-25/370	Smoke extract ductwork	90-45-25
90-45-25/400	Access doors	90-45-25
90-45-25/410	Bird guards	90-45-25
90-45-25/420	Fire and smoke dampers for metal ductwork	90-45-25
90-45-25/425	Fire and smoke dampers for plastics ductwork	90-45-25
90-45-25/430	Flexible ductwork	90-45-25
90-45-25/440	Insect guards	90-45-25
90-45-25/445	Intumescent fire and smoke dampers	90-45-25
90-45-25/460	Non-return dampers	90-45-25
90-45-25/465	Pressure control flaps	90-45-25
90-45-25/470	Pressure relief dampers	90-45-25
90-45-25/480	Shut off dampers	90-45-25
90-45-25/490	VAV terminal units	90-45-25
90-45-30	Fans	90-45
90-45-30/310	Axial flow fans	90-45-30
90-45-30/320	Centrifugal fans	90-45-30
90-45-30/330	Jet fans	90-45-30
90-45-30/340	Mixed flow fans	90-45-30
90-45-30/350	Propeller fans	90-45-30
90-45-30/360	Roof mounted fans	90-45-30
90-45-30/370	Smoke extract fans	90-45-30
90-45-30/380	Toilet extract fans	90-45-30
90-45-35	Fume cupboards and safety cabinets	90-45
90-45-35/310	General purpose fume cupboards	90-45-35
90-45-35/320	Laminar flow cabinets	90-45-35
90-45-35/330	Microbiological safety cabinets	90-45-35
90-45-35/340	Recirculatory filtration fume cupboards	90-45-35
90-45-35/350	School fume cupboards	90-45-35
90-45-35/360	Variable air volume fume cupboards	90-45-35
90-45-40	Fume extract products	90-45
90-45-40/310	Fume extract points	90-45-40
90-45-40/320	Capturing hoods	90-45-40
90-45-40/330	Enclosing hoods	90-45-40
90-45-40/340	Receiving hoods	90-45-40
90-45-40/350	Duct mounted modular electrostatic air filters	90-45-40
90-45-40/360	Air cleaner – gases and vapours	90-45-40
90-45-40/370	Air cleaner – particles	90-45-40
90-45-40/380	Auto wash electrostatic air cleaners	90-45-40
90-45-40/400	Fan assemblies	90-45-40
90-45-40/410	LEV air movers	90-45-40
90-45-40/430	Discharge stack	90-45-40
90-45-40/450	Controls	90-45-40
90-45-40/480	Spares and consumables	90-45-40
90-45-45	Heat recovery products	90-45
90-45-45/310	Heat pipes	90-45-45
90-45-45/320	Plate recuperators	90-45-45
90-45-45/330	Regenerators	90-45-45
90-45-45/340	Run-around coils	90-45-45
90-45-45/350	Thermal wheels	90-45-45
90-45-50	Heating and cooling coils	90-45
90-45-50/310	Chilled water cooling coils	90-45-50
90-45-50/320	Electric heater batteries	90-45-50
90-45-50/330	Gas fired heater batteries	90-45-50
90-45-50/340	Low temperature hot water heating coils	90-45-50
90-45-50/350	Refrigerant cooling coils	90-45-50
90-45-50/400	Drain traps	90-45-50
90-45-55	Humidifiers and dehumidifiers	90-45
90-45-55/310	Evaporative humidifiers	90-45-55
90-45-55/320	Steam humidifiers	90-45-55
90-45-55/330	Water atomizing humidifiers	90-45-55
90-45-55/340	Desiccant dehumidifiers	90-45-55
90-45-55/400	Drain traps	90-45-55
90-45-75	Silencers and attenuators	90-45
90-45-75/310	Air transfer and cross talk attenuators	90-45-75
90-45-75/320	Circular silencers	90-45-75
90-45-75/330	Rectangular silencers	90-45-75
90-45-75/340	Acoustic insulation	90-45-75
90-45-75/350	Acoustic linings	90-45-75
90-45-75/360	Acoustic louvres	90-45-75
90-45-80	Smoke and heat exhaust products	90-45
90-45-80/310	Static smoke barriers	90-45-80
90-45-80/320	Standard active smoke barriers	90-45-80
90-45-80/330	High temperature active smoke barriers	90-45-80
90-45-80/340	Natural smoke and heat exhaust ventilators	90-45-80
90-45-80/350	Powered smoke and heat exhaust ventilators	90-45-80
90-45-80/360	Smoke dampers	90-45-80
90-45-80/370	Smoke and heat exhaust control panels	90-45-80
90-45-95	Vehicle exhaust products	90-45
90-45-95/310	Nozzles	90-45-95
90-45-95/320	Crushproof hoses	90-45-95
90-45-95/340	Hose reels	90-45-95
90-45-95/350	Spring balancer hose support	90-45-95
90-45-95/360	Rail tracks	90-45-95
90-45-95/370	Self-sealing floor plates	90-45-95
90-45-95/390	Fan assemblies	90-45-95
90-45-95/400	Controls	90-45-95
90-50	Power supply products	90
90-50-35	Generators, engines and packaged CHP units	90-50
90-50-35/310	Generator set	90-50-35
90-50-35/320	Internal combustion engines	90-50-35
90-50-35/330	Governor	90-50-35
90-50-35/340	Alternators	90-50-35
90-50-35/350	Automatic voltage regulators	90-50-35
90-50-35/360	Control panel	90-50-35
90-50-35/370	Generator enclosures	90-50-35
90-50-35/380	Load banks	90-50-35
90-50-35/460	Generator set factory inspections and tests	90-50-35
90-50-35/470	Generator set acceptance tests	90-50-35
90-50-35/480	Generator set standard functional tests	90-50-35
90-50-35/490	Packaged CHP units	90-50-35
90-50-40	High voltage switchgear and transformers	90-50
90-50-40/310	High voltage modular switchboards	90-50-40
90-50-40/320	Ring main units	90-50-40
90-50-40/340	Vacuum circuit breaker panel with series disconnector	90-50-40
90-50-40/350	Bus-section panel with vacuum circuit breaker and series disconnectors	90-50-40
90-50-40/360	Busbar metering panels	90-50-40
90-50-40/400	Protection and control module	90-50-40
90-50-40/450	Liquid immersed transformers	90-50-40
90-50-40/455	Dry-type transformers	90-50-40
90-50-40/460	Current transformers	90-50-40
90-50-40/465	Inductive voltage transformers	90-50-40
90-50-45	Low voltage switchgear	90-50
90-50-45/310	Lighting busbar trunking	90-50-45
90-50-45/320	Power busbar trunking	90-50-45
90-50-45/330	Tap-off units	90-50-45
90-50-45/340	Feed units	90-50-45
90-50-45/350	Fire barrier units	90-50-45
90-50-45/360	Master distribution boxes	90-50-45
90-50-45/370	Slave distribution boxes	90-50-45
90-50-45/380	Lighting distribution boxes	90-50-45
90-50-45/390	Cable distribution cabinets	90-50-45
90-50-45/392	Electrical cut outs	90-50-45
90-50-45/394	Enclosures	90-50-45
90-50-45/396	PV generator junction boxes	90-50-45
90-50-45/410	Distribution boards and consumer units	90-50-45
90-50-45/420	Cubicle switchboards	90-50-45
90-50-45/430	Switchgear tripping units	90-50-45
90-50-45/440	Busbars	90-50-45
90-50-45/450	Switches, disconnectors, switch-disconnectors and fuse combination units	90-50-45
90-50-45/460	Automatic transfer switching equipment (TSE)	90-50-45
90-50-45/470	Control and protective switching devices	90-50-45
90-50-45/480	Changeover switches	90-50-45
90-50-45/490	Switchgear mounting framework	90-50-45
90-50-75	Safety matting	90-50
90-50-75/310	High voltage safety matting	90-50-75
90-50-75/320	Low voltage safety matting	90-50-75
90-50-80	Small wind turbines and photovoltaics	90-50
90-50-80/310	Photovoltaic modules	90-50-80
90-50-80/320	Wind turbine	90-50-80
90-55	Cable products	90
90-55-10	Cable containment	90-55
90-55-10/305	Channel cable supports	90-55-10
90-55-10/310	Cable cleats	90-55-10
90-55-10/315	Cable ties	90-55-10
90-55-10/320	Cable bands	90-55-10
90-55-10/325	Cable baskets	90-55-10
90-55-10/330	Cable ladders	90-55-10
90-55-10/335	Cable trays	90-55-10
90-55-10/350	Buried conduit	90-55-10
90-55-10/360	Flexible conduit	90-55-10
90-55-10/370	Pliable conduit	90-55-10
90-55-10/380	Rigid conduit	90-55-10
90-55-10/390	Proprietary trunking	90-55-10
90-55-10/400	Slotted cable trunking	90-55-10
90-55-10/410	Cable trunking and cable ducting systems	90-55-10
90-55-10/420	Floor cable trunking and cable ducting systems	90-55-10
90-55-10/430	Service outlets	90-55-10
90-55-10/440	Service outlet poles	90-55-10
90-55-10/450	Raised access floor service outlets	90-55-10
90-55-10/460	Conduit fittings	90-55-10
