
B	COMPLETE BUILDINGS/ STRUCTURES/ UNITS
T40/610	STRIPPING OUT	T40
T40/620	INSTALLATION GENERALLY	T40
T40/630	INSTALLATION OF GROUND HEAT EXCHANGERS	T40
T40/810	DOCUMENTATION	T40
T40/820	MAINTENANCE	T40
T41	VARIABLE REFRIGERANT FLOW SYSTEMS	T
T41/110	VARIABLE REFRIGERANT FLOW SYSTEM	T41
T41/210	DESIGN	T41
T41/310	ELECTRIC DRIVEN COMPRESSORS	T41
T41/320	GAS ENGINE DRIVEN COMPRESSORS	T41
T41/330	INDOOR UNITS	T41
T41/340	REFRIGERANT PIPEWORK AND FITTINGS	T41
T41/610	STRIPPING OUT	T41
T41/620	INSTALLATION GENERALLY	T41
T41/630	INSTALLING GAS ENGINE DRIVEN COMPRESSORS	T41
T41/810	DOCUMENTATION	T41
T41/820	MAINTENANCE	T41
T42	UNDERFLOOR HEATING AND COOLING	T
T42/310	LOW TEMPERATURE HOT WATER UNDERFLOOR HEATING	T42
T42/320	CHILLED WATER UNDERFLOOR COOLING	T42
T42/330	COMBINED UNDERFLOOR HEATING AND COOLING	T42
T42/340	ELECTRICAL UNDERFLOOR HEATING	T42
T42/610	INSTALLATION	T42
T50	CHILLED WATER SYSTEMS	T
T50/110	CHILLED WATER SYSTEM	T50
T50/210	DESIGN AND DETAILING	T50
T50/220	BASIC DESIGN TEMPERATURES	T50
T50/230	THERMAL INSULATION OF BUILDING FABRIC - SPECIFIED U-VALUES	T50
T50/240	THERMAL INSULATION OF BUILDING FABRIC – DERIVED VALUES	T50
T50/250	SYSTEM OPERATING PARAMETERS	T50
T50/260	COOLING SYSTEM CAPACITY	T50
T50/265	VARIABLE FLOW PIPEWORK SYSTEMS	T50
T50/270	SUBMITTALS	T50
T50/610	STRIPPING OUT	T50
T50/905	HYDRAULIC PRESSURE TESTING OF CHILLED WATER SYSTEMS	T50
T50/910	DOCUMENTATION	T50
T50/920	OPERATING TOOLS	T50
T50/930	MAINTENANCE	T50
T51	CLIMATIC CEILINGS AND BEAM SYSTEMS	T
T51/110	CLIMATIC BEAM SYSTEMS	T51
T51/120	CLIMATIC CEILING SYSTEMS	T51
T51/210	DESIGN	T51
T51/220	DESIGN PARAMETERS	T51
T51/230	CLIMATIC ACTIVE BEAM DESIGN PARAMETERS	T51
T51/240	CLIMATIC PASSIVE BEAM DESIGN PARAMETERS	T51
T51/250	CLIMATIC CEILING DESIGN PARAMETERS	T51
T51/310	CLIMATIC BEAMS, ACTIVE	T51
T51/320	CLIMATIC BEAMS, PASSIVE	T51
T51/330	CLIMATIC BEAMS, MULTI-SERVICE	T51
T51/340	CLIMATIC CEILING PANELS	T51
T51/610	STRIPPING OUT	T51
T51/620	SETTING OUT	T51
T51/630	INSTALLING CLIMATIC BEAMS	T51
T51/640	INSTALLING CLIMATIC CEILING PANELS	T51
T51/930	DOCUMENTATION	T51
T51/940	OPERATING TOOLS	T51
T51/950	MAINTENANCE	T51
T60	CENTRAL REFRIGERATION PLANT	T
T60/320	SAFETY AND ENVIRONMENTAL REQUIREMENTS	T60
T60/330	AIR COOLED LIQUID CHILLERS	T60
T60/340	WATER COOLED LIQUID CHILLERS	T60
T60/350	STEAM FIRED ABSORPTION LIQUID CHILLERS	T60
T60/360	HOT WATER FIRED ABSORPTION LIQUID CHILLERS	T60
T60/370	DIRECT FIRED ABSORPTION LIQUID CHILLERS	T60
T60/390	OPEN CIRCUIT COOLING TOWERS	T60
T60/400	CLOSED CIRCUIT COOLING TOWERS	T60
T60/410	DRY AIR COOLERS	T60
T60/420	CHILLED WATER BUFFER VESSELS	T60
T60/430	REFRIGERANT PIPEWORK AND FITTINGS	T60
T60/610	INSTALLATION GENERALLY	T60
T60/620	INSTALLING CHILLERS	T60
T60/630	INSTALLING COOLING TOWERS	T60
T60/640	INSTALLING REFRIGERANT PIPEWORK	T60
T71	COLD ROOM SYSTEMS	T
T71/110	CATERING COLD ROOM SYSTEMS	T71
T71/120	MORTUARY COLD ROOM SYSTEMS	T71
T71/210	CATERING COLD ROOM SYSTEM DESIGN	T71
T71/220	MORTUARY COLD ROOM SYSTEM DESIGN	T71
T71/310	INDOOR REFRIGERATION UNITS	T71
T71/320	AIR COOLED CONDENSING UNITS	T71
T71/610	STRIPPING OUT	T71
T71/620	INSTALLING COLD ROOMS	T71
T71/630	INSTALLING INDOOR REFRIGERATION UNITS	T71
T71/810	DOCUMENTATION	T71
T71/820	MAINTENANCE	T71
T90	HEATING SYSTEMS - DOMESTIC	T
T90/110	HEATING SYSTEM	T90
T90/210	DESIGN	T90
T90/220	BASIC DESIGN TEMPERATURES	T90
T90/225	THERMAL INSULATION OF BUILDING FABRIC	T90
T90/226	THERMAL INSULATION OF BUILDING FABRIC	T90
T90/230	SYSTEM OPERATING PARAMETERS	T90
T90/240	HEATING SYSTEM CAPACITY	T90
T90/241	HEATING AND HOT WATER SUPPLY SYSTEM CAPACITY	T90
T90/250	SYSTEM CONTROL	T90
T90/280	COMBUSTION AIR SUPPLY TO GAS APPLIANCES	T90
T90/305	BOILERS, GAS FIRED	T90
T90/310	BOILERS, GAS FIRED COMBINATION	T90
T90/312	BOILERS, GAS FIRED CONDENSING	T90
T90/315	BOILERS, OIL FIRED	T90
T90/320	BOILERS, SOLID FUEL	T90
T90/325	GAS FIRES	T90
T90/330	GAS FIRES, DECORATIVE FUEL EFFECT	T90
T90/335	GAS FIRES, INSET LIVE FUEL EFFECT	T90
T90/340	GAS FIRES WITH BACK BOILER	T90
T90/345	SOLID FUEL COOKERS WITH BOILER	T90
T90/350	SOLID FUEL FIRED ROOMHEATERS	T90
T90/355	SOLID FUEL FIRED ROOMHEATERS WITH BACK BOILER	T90
T90/360	FLUE LINERS	T90
T90/365	INSULATED CHIMNEYS	T90
T90/370	METAL FLUE PIPES	T90
T90/375	LPG STORAGE TANKS AND SERVICE PIPES	T90
T90/380	OIL STORAGE TANKS, PLASTICS	T90
T90/385	OIL STORAGE TANKS, STEEL	T90
T90/390	FEED AND EXPANSION CISTERNS	T90
T90/395	COPPER PIPELINES FOR GENERAL USE	T90
T90/400	COPPER PIPELINES, PLASTICS COATED	T90
T90/410	THERMOPLASTICS PIPELINES	T90
T90/415	VENT PIPELINES	T90
T90/420	WARNING AND OVERFLOW PIPES TO FEED AND EXPANSION CISTERNS	T90
T90/425	VALVES GENERALLY	T90
T90/430	MANUAL RADIATOR VALVES	T90
T90/435	MOTORIZED VALVES	T90
T90/440	THERMOSTATIC RADIATOR VALVES	T90
T90/445	CIRCULATING PUMPS	T90
T90/450	INSULATION TO PIPELINES TO CONTROL HEAT LOSS	T90
T90/455	FAN CONVECTOR HEATERS	T90
T90/460	NATURAL CONVECTOR HEATERS	T90
T90/465	RADIATORS	T90
T90/470	TOWEL WARMER RADIATORS	T90
T90/475	UNDERFLOOR HEATING SYSTEMS	T90
T90/480	PROGRAMMERS	T90
T90/485	THERMOSTATS	T90
T90/490	TIMERS	T90
T90/500	AIR TO AIR HEAT PUMPS	T90
T90/505	AIR TO WATER HEAT PUMPS	T90
T90/510	GAS FIRED ABSORPTION HEAT PUMPS	T90
T90/515	WATER TO AIR HEAT PUMPS	T90
T90/520	WATER TO WATER HEAT PUMPS	T90
T90/525	GROUND HEAT EXCHANGERS	T90
T90/610	INSTALLATION GENERALLY	T90
T90/620	INSTALLATION OF FEED AND EXPANSION CISTERNS	T90
T90/630	PIPELINE INSTALLATION	T90
T90/640	PIPELINE FIXING	T90
T90/650	JOINTS IN COPPER PIPELINES	T90
T90/660	JOINTS IN THERMOPLASTICS PIPELINES	T90
T90/670	INSTALLATION OF OIL STORAGE TANKS	T90
T90/680	INSTALLATION OF HEAT PUMPS GENERALLY	T90
T90/690	INSTALLATION OF GROUND HEAT EXCHANGER COLLECTORS	T90
T90/810	TESTING	T90
T90/820	SETTING TO WORK AND COMMISSIONING	T90
T90/830	TESTING GAS PIPELINES	T90
T90/840	DOCUMENTATION	T90
T90/850	LABELS	T90
U	VENTILATION AND AIR CONDITIONING SYSTEMS
U10	VENTILATION SYSTEMS	U
U10/110	NATURAL VENTILATION SYSTEM	U10
U10/130	MECHANICAL SUPPLY VENTILATION SYSTEM	U10
U10/140	MECHANICAL EXTRACT VENTILATION SYSTEM	U10
U10/150	TOILET EXTRACT VENTILATION SYSTEM	U10
U10/160	KITCHEN EXTRACT VENTILATION SYSTEM	U10
U10/210	DESIGN	U10
U10/220	VENTILATION STRATEGY ISSUES	U10
U10/230	DESIGN PARAMETERS:	U10
U10/240	DUCTWORK DESIGN	U10
U10/250	SUBMITTALS	U10
U10/310	ROOF RIDGE TERMINALS	U10
U10/320	ROOF SLOPE TERMINALS	U10
U10/330	ROOF STACK TERMINALS	U10
U10/610	STRIPPING OUT	U10
U10/620	PASSIVE STACK VENTILATION SYSTEMS	U10
U10/630	INSTALLING DUCTWORK ON AIR HANDLING UNITS	U10
U10/930	DOCUMENTATION	U10
U12	KITCHEN EXTRACT EQUIPMENT	U
U12/310	PRIMARY GREASE FILTERS	U12
U12/320	MESH FILTERS	U12
U12/330	ULTRA VIOLET LIGHTS	U12
U12/510	KITCHEN CANOPIES	U12
U12/520	VENTILATED CEILINGS	U12
U12/610	GREASE FILTER INSTALLATION	U12
U12/620	KITCHEN CANOPY INSTALLATION	U12
U12/630	VENTILATED CEILING INSTALLATION	U12
U13	CAR PARK VENTILATION SYSTEMS	U
U13/110	CAR PARK VENTILATION SYSTEM	U13
U13/210	DESIGN	U13
U13/220	PERFORMANCE CRITERIA	U13
U13/310	JET FANS	U13
U13/320	POWERED SMOKE AND HEAT EXHAUST VENTILATORS	U13
U13/330	NATURAL SMOKE AND HEAT EXHAUST VENTILATORS	U13
U13/610	STRIPPING OUT	U13
U13/620	INSTALLING JET FANS	U13
U13/630	INSTALLING VENTILATORS	U13
U13/920	DOCUMENTATION	U13
U13/930	SPARES AND CONSUMABLES	U13
U13/940	MAINTENANCE	U13
U14	SMOKE AND HEAT CONTROL SYSTEMS	U
U14/110	SMOKE AND HEAT EXHAUST VENTILATION SYSTEM	U14
U14/120	PRESSURE DIFFERENTIAL SYSTEM	U14
U14/2	TO BE READ WITH PRELIMINARIES/ GENERAL CONDITIONS	U14
U14/210	DESIGN	U14
U14/220	DESIGN PARAMETERS FOR SYSTEMS TO MAINTAIN A SMOKE-FREE LAYER	U14
U14/230	DESIGN OF SMOKE AND HEAT CONTROL SYSTEM	U14
U14/240	DESIGN OF PRESSURE DIFFERENTIAL SYSTEM	U14
U14/310	STATIC SMOKE BARRIERS	U14
U14/315	STANDARD ACTIVE SMOKE BARRIERS	U14
U14/316	HIGH TEMPERATURE ACTIVE SMOKE BARRIERS	U14
U14/320	POWERED SMOKE AND HEAT EXHAUST VENTILATORS	U14
U14/330	NATURAL SMOKE AND HEAT EXHAUST VENTILATORS	U14
U14/340	SMOKE DAMPERS	U14
U14/350	SWITCHES	U14
U14/360	CONTROLLERS	U14
U14/610	STRIPPING OUT SMOKE AND HEAT CONTROL SYSTEMS	U14
U14/620	INSTALLING VENTILATORS	U14
U14/630	INSTALLING SMOKE BARRIERS	U14
U14/810	TESTING	U14
U14/820	DOCUMENTATION	U14
U14/830	SPARES AND CONSUMABLES	U14
U14/840	MAINTENANCE	U14
U21	SAFETY CABINET AND FUME CUPBOARD EXTRACT SYSTEMS	U
U21/110	SAFETY CABINET EXTRACT SYSTEM	U21
U21/120	FUME CUPBOARD EXTRACT SYSTEM	U21
U21/130	RECIRCULATORY FUME CUPBOARDS SYSTEM	U21
U21/210	DESIGN	U21
U21/310	GENERAL PURPOSE FUME CUPBOARDS	U21
U21/315	VARIABLE AIR VOLUME FUME CUPBOARDS	U21
U21/320	LAMINAR FLOW CABINETS	U21
U21/330	MICROBIOLOGICAL SAFETY CABINETS	U21
U21/340	RECIRCULATORY FILTRATION FUME CUPBOARDS	U21
U21/350	SCHOOL FUME CUPBOARDS	U21
U21/610	STRIPPING OUT SAFETY CABINET AND FUME CUPBOARD EXTRACT SYSTEMS	U21
U21/620	FUMIGATION	U21
U21/630	INSTALLING FUME CUPBOARDS	U21
U21/640	INSTALLING MICROBIOLOGICAL SAFETY CABINETS	U21
U21/650	INSTALLING SCHOOL FUME CUPBOARDS	U21
U21/810	TESTING	U21
U21/820	COMMISSIONING	U21
U21/830	DOCUMENTATION	U21
U21/840	SPARES AND CONSUMABLES	U21
U21/850	MAINTENANCE	U21
U24	INDUSTRIAL FUME EXTRACT SYSTEMS	U
U24/110	VEHICLE EXHAUST EXTRACT SYSTEM	U24
U24/130	LOCAL EXHAUST VENTILATION SYSTEM	U24
U24/210	DESIGN	U24
U24/220	VEHICLE EXHAUST DETAILS	U24
U24/230	WELDING DETAILS	U24
U24/240	LOCAL EXHAUST VENTILATION (LEV)	U24
U24/310	NOZZLES	U24
U24/320	CRUSHPROOF HOSES	U24
U24/330	HOSE REELS	U24
U24/340	SPRING BALANCER HOSE SUPPORT	U24
U24/350	RAIL TRACKS	U24
U24/360	SELF-SEALING FLOOR PLATES	U24
U24/370	FUME EXTRACT POINTS	U24
U24/373	CAPTURING HOOD	U24
U24/375	ENCLOSING HOOD	U24
U24/377	RECEIVING HOOD	U24
U24/380	DUCT MOUNTED MODULAR ELECTROSTATIC AIR FILTERS	U24
U24/385	AIR CLEANER - PARTICLES	U24
U24/390	AUTO WASH ELECTROSTATIC AIR CLEANERS	U24
U24/395	AIR CLEANER - GASES AND VAPOURS	U24
U24/400	FAN ASSEMBLIES	U24
U24/405	LEV AIR MOVERS	U24
U24/410	DISCHARGE STACK	U24
U24/420	CONTROLS	U24
U24/610	STRIPPING OUT	U24
U24/620	INSTALLING CAPTURING HOODS	U24
U24/622	INSTALLING ENCLOSURE HOODS	U24
U24/625	INSTALLING RECEIVING HOODS	U24
U24/630	DISCHARGE STACK	U24
U24/810	TESTING	U24
U24/820	COMMISSIONING	U24
U24/830	DOCUMENTATION	U24
U24/840	SPARES AND CONSUMABLES	U24
U24/850	MAINTENANCE	U24
U30	AIR CONDITIONING SYSTEMS	U
U30/110	CENTRALIZED ALL-AIR CONDITIONING SYSTEM	U30
U30/130	FAN COIL UNIT AIR CONDITIONING SYSTEM	U30
U30/140	INDUCTION UNIT AIR CONDITIONING SYSTEM	U30
U30/150	EXTRACT SYSTEM	U30
U30/210	DESIGN	U30
U30/220	AIR CONDITIONING STRATEGY ISSUES	U30
U30/230	DESIGN PARAMETERS	U30
U30/240	DUCTWORK DESIGN	U30
U30/250	SUBMITTALS	U30
U30/610	STRIPPING OUT	U30
U30/620	INSTALLING DUCTWORK ON AIR HANDLING UNITS	U30
U30/830	DOCUMENTATION	U30
U30/840	SPARES AND CONSUMABLES	U30
U30/850	MAINTENANCE	U30
U40	INDUCTION UNITS	U
U40/310	INDUCTION UNITS	U40
U40/610	INDUCTION UNIT DRAIN LINE	U40
U41	FAN COIL UNITS	U
U41/310	FAN COIL UNITS	U41
U41/610	FAN COIL UNIT DRAIN LINE	U41
U42	VARIABLE AIR VOLUME TERMINAL UNITS	U
U42/310	VAV TERMINAL UNITS	U42
U60	LOCAL AIR CONDITIONING SYSTEMS	U
U60/110	ROOM AIR CONDITIONING SYSTEM	U60
U60/120	LOCAL EXTRACT SYSTEM	U60
U60/130	LOCAL UNDERFLOOR AIR CONDITIONING SYSTEM	U60
U60/150	EVAPORATIVE COOLING SYSTEMS	U60
U60/210	DESIGN	U60
U60/220	AIR CONDITIONING STRATEGY ISSUES	U60
U60/230	DESIGN PARAMETERS	U60
U60/240	DUCTWORK DESIGN	U60
U60/250	SUBMITTALS	U60
U60/310	ROOM AIR CONDITIONING UNITS	U60
U60/320	SPLIT COIL ROOM AIR CONDITIONING UNITS	U60
U60/330	SPLIT COIL REMOTE AIR COOLED CONDENSING UNITS.	U60
U60/340	LOCAL AIR CONDITIONING UNITS	U60
U60/350	TERMINAL FAN UNITS	U60
U60/360	REFRIGERANT PIPELINES AND FITTINGS	U60
U60/370	EVAPORATIVE COOLING UNITS	U60
U60/610	STRIPPING OUT LOCAL AIR CONDITIONING SYSTEMS	U60
U60/620	INSTALLING LOCAL AIR CONDITIONING REFRIGERATION	U60
U60/810	DOCUMENTATION	U60
U60/820	MAINTENANCE	U60
U80	AIR DUCTWORK AND ANCILLARIES	U
U80/305	DAMPERS, FIRE AND SMOKE, METAL DUCTWORK	U80
U80/306	DAMPERS, FIRE AND SMOKE, PLASTICS DUCTWORK	U80
U80/307	DAMPERS, FIRE AND SMOKE, INTUMESCENT	U80
U80/310	DAMPERS, NON-RETURN	U80
U80/320	DAMPERS, PRESSURE RELIEF	U80
U80/330	DAMPERS, SHUT OFF	U80
U80/340	FLEXIBLE DUCTWORK	U80
U80/350	GUARDS, BIRD	U80
U80/360	GUARDS, INSECT	U80
U80/370	PRESSURE CONTROL FLAPS	U80
U80/380	ACCESS DOORS	U80
U80/510	GLASS FIBRE DUCTWORK AND FITTINGS	U80
U80/520	FIRE RATED AND SMOKE EXTRACT DUCTWORK AND FITTINGS	U80
U80/525	SMOKE EXTRACT DUCTWORK	U80
U80/530	PLASTICS DUCTWORK AND FITTINGS, CIRCULAR	U80
U80/535	PLASTICS DUCTWORK AND FITTINGS, RECTANGULAR	U80
U80/540	PRE-INSULATED DUCTWORK AND FITTINGS	U80
U80/550	SHEET METAL DUCTWORK AND FITTINGS, CIRCULAR	U80
U80/555	SHEET METAL DUCTWORK AND FITTINGS, FLAT OVAL	U80
U80/560	SHEET METAL DUCTWORK AND FITTINGS, RECTANGULAR	U80
U80/610	AIR DUCTWORK GENERALLY	U80
U80/620	INSTALLATION OF GLASS FIBRE DUCTWORK	U80
U80/630	INSTALLATION OF PLASTICS DUCTWORK	U80
U80/640	INSTALLATION OF SHEET METAL DUCTWORK	U80
U80/645	INSTALLING DUCTWORK SUPPORTS	U80
U80/650	SUPPORT OF AIR TERMINAL UNITS IN CEILING GRIDS	U80
U80/660	COMPONENT SUPPORT ON PRE-INSULATED DUCTWORK	U80
U80/670	DUCTWORK SUPPORT FOR VAPOUR SEAL CONTINUITY	U80
U80/680	DUCTWORK SUPPORT, SPECIAL	U80
U80/690	DRAINAGE OF DUCTWORK	U80
U80/700	TEST HOLES IN DUCTWORK	U80
U80/710	INSTALLING CONTROLS AND SENSING EQUIPMENT IN PLASTICS DUCTWORK	U80
U80/720	WEATHERPROOFING DUCTWORK PENETRATIONS	U80
U80/725	INSTALLING FIRE AND SMOKE CONTROL DAMPERS	U80
U80/730	FIRE RATED DUCTWORK SLEEVES	U80
U80/740	INSTALLING CONTROL EQUIPMENT AND INSTRUMENTS IN METAL DUCTWORK	U80
U80/750	ACCESS TO DAMPERS FOR RESETTING AND MAINTENANCE	U80
U80/760	DUCTWORK CLEANLINESS	U80
U80/765	SPECIALIST DUCTWORK CLEANING	U80
U80/770	VERIFICATION OF CLEANLINESS OF VENTILATION SYSTEMS	U80
U80/775	CLEANING OF KITCHEN EXTRACT SYSTEMS	U80
U80/780	AIR LEAKAGE TESTING OF HIGH PRESSURE DUCTWORK	U80
U80/785	AIR LEAKAGE TESTING OF MEDIUM PRESSURE DUCTWORK	U80
U80/790	AIR LEAKAGE TESTING OF PLANT ITEMS	U80
U81	AIR HANDLING UNITS	U
U81/310	AIR HANDLING UNITS	U81
U81/320	AIR CONTROL DAMPERS	U81
U81/330	PRIMARY FILTERS	U81
U81/340	SECONDARY FILTERS	U81
U81/350	HUMIDIFIERS	U81
U81/360	PREHEATERS	U81
U81/370	COOLING COILS	U81
U81/380	REHEATER	U81
U81/390	FANS	U81
U81/400	VARIABLE DUTY FANS	U81
U81/405	ATTENUATOR	U81
U81/410	DRAIN LINES	U81
U81/510	AIR HANDLING UNIT CASING CONSTRUCTION	U81
U81/520	AIR HANDLING UNIT ACCESS	U81
U81/610	COMPONENT ASSEMBLY	U81
U81/620	ACCESS	U81
U81/630	COIL INSTALLATION GENERALLY	U81
U81/640	HOT WATER COILS INSTALLATION	U81
U81/650	DRAIN LINES INSTALLATION	U81
U81/660	SERVICES CONNECTIONS	U81
U81/670	ISOLATION OF AIR HANDLING UNITS	U81
U81/680	SUPPORT FOR AIR HANDLING UNITS	U81
U81/700	PRE-COMMISSIONING OF COILS	U81
U81/710	AIR LEAKAGE TESTING	U81
U81/720	TESTING	U81
U82	FANS	U
U82/310	AXIAL FLOW FANS	U82
U82/320	CENTRIFUGAL FANS	U82
U82/325	JET FANS	U82
U82/330	MIXED FLOW F ANS	U82
U82/340	PROPELLER FANS	U82
U82/350	ROOF MOUNTED FANS	U82
U82/355	SMOKE EXTRACT FANS.	U82
U82/360	TOILET EXTRACT FANS	U82
U82/370	CONSTRUCTION AND HANDLING	U82
U82/610	INSTALLATION	U82
U83	AIR FILTRATION	U
U83/310	PRIMARY FILTERS	U83
U83/320	SECONDARY FILTERS	U83
U83/325	EFFICIENT PARTICULATE (EPA) FILTERS	U83
U83/330	HIGH EFFICIENCY PARTICLE ARRESTOR (HEPA) FILTERS	U83
U83/340	ULTRA LOW PARTICLE ARRESTOR (ULPA) FILTERS	U83
U83/350	ACTIVATED CARBON FILTERS	U83
U83/360	ELECTROSTATIC PRECIPITATORS	U83
U83/370	EDGE SEALS	U83
U83/380	PRESSURE GAUGES	U83
U83/390	TERMINAL FILTER HOUSINGS	U83
U83/400	SAFE CHANGE FILTER CHANGING UNITS	U83
U83/610	INSTALLING FILTER FRAMES	U83
U83/620	INSTALLING FILTERS	U83
U83/630	INSTALLING PRESSURE GAUGES	U83
U83/810	SPARES	U83
U83/820	CLEANING	U83
U84	HEATING AND COOLING COILS	U
U84/310	LOW TEMPERATURE HOT WATER HEATING COILS	U84
U84/320	CHILLED WATER COOLING COILS	U84
U84/330	REFRIGERANT COOLING COILS	U84
U84/340	ELECTRIC HEATER BATTERIES	U84
U84/345	GAS FIRED HEATER BATTERIES	U84
U84/350	DRAIN TRAPS	U84
U84/610	INSTALLATION	U84
U84/620	ELIMINATOR PLATES INSTALLATION	U84
U84/630	DRAIN TRAP INSTALLATION	U84
U85	HEAT RECOVERY	U
U85/310	PLATE RECUPERATORS	U85
U85/320	RUN-AROUND COILS	U85
U85/330	THERMAL WHEELS	U85
U85/340	HEAT PIPES	U85
U85/350	REGENERATORS	U85
U85/610	SUPPORT	U85
U85/620	INSTALLING ELIMINATOR PLATES	U85
U85/630	INSTALLING DRAIN TRAPS	U85
U86	AIR TREATMENT	U
U86/310	STEAM HUMIDIFIERS	U86
U86/320	EVAPORATIVE HUMIDIFIER	U86
U86/330	WATER ATOMIZING HUMIDIFIER	U86
U86/340	DESICCANT DEHUMIDIFIERS	U86
U86/610	INSTALLATION	U86
U86/620	CONDENSATE CONNECTIONS	U86
U86/630	THERMAL EXPANSION	U86
U86/640	INSTALLING DRAIN TRAPS	U86
U86/650	FIXINGS	U86
U87	SILENCERS AND ACOUSTIC TREATMENT	U
U87/310	CIRCULAR SILENCERS	U87
U87/320	RECTANGULAR SILENCERS	U87
U87/330	AIR TRANSFER AND CROSS TALK ATTENUATORS	U87
U87/340	ACOUSTIC LININGS	U87
U87/350	ACOUSTIC INSULATION	U87
U87/360	ACOUSTIC LOUVRES	U87
U87/610	ACOUSTIC LININGS	U87
U87/620	INSTALLING LOUVRES	U87
U88	AIR TERMINAL DEVICES	U
U88/310	AIR TERMINAL DEVICES, SPECIALIST	U88
U88/320	AIR TERMINAL LUMINAIRES	U88
U88/325	AIR TRANSFER GRILLES	U88
U88/330	DIFFUSERS	U88
U88/340	DIFFUSERS, DISPLACEMENT VENTILATION	U88
U88/350	DIFFUSERS, FLOOR LINEAR	U88
U88/360	DIFFUSERS, LINEAR	U88
U88/370	DIFFUSERS, SWIRL	U88
U88/380	EXTERNAL LOUVRES	U88
U88/390	GRILLES	U88
U88/400	LAMINAR FLOW PANELS	U88
U88/410	PLENUM BOXES, CEILING OR WALL MOUNTED	U88
U88/420	PLENUM BOXES, FLOOR MOUNTED	U88
U88/430	VENTILATED CEILINGS	U88
U88/610	INSTALLATION	U88
U88/620	FIXING CIRCULAR AND RECTANGULAR DIFFUSERS	U88
U88/630	FIXING FLOOR MOUNTED LINEAR DIFFUSERS	U88
U88/640	FIXING LINEAR AND SLOT DIFFUSERS	U88
U88/650	FIXING FLOOR MOUNTED SWIRL DIFFUSERS	U88
U88/660	FIXING GRILLES	U88
U88/670	OPERATION	U88
U88/680	BLANKING PLATES	U88
U88/690	INSTALLING LOUVRES	U88
U88/910	SPARES	U88
U90	GENERAL VENTILATION – DOMESTIC	U
U90/110	VENTILATION FOR HEATING APPLIANCES	U90
U90/120	PASSIVE STACK VENTILATION	U90
U90/130	LOCAL EXTRACT FAN VENTILATION	U90
U90/140	MECHANICAL SUPPLY VENTILATION	U90
U90/150	WHOLE HOUSE MECHANICAL VENTILATION	U90
U90/210	DESIGN	U90
U90/310	VENTILATORS FOR HEATING APPLIANCES	U90
U90/320	EXTERNAL AIR INTAKE GRILLES	U90
U90/330	ROOF RIDGE AIR INTAKE TERMINALS	U90
U90/335	ROOF SLOPE AIR INTAKE TERMINALS	U90
U90/340	THROUGH WALL VENTILATOR DUCTS	U90
U90/350	WINDOW TRICKLE VENTILATORS	U90
U90/360	AIR TRANSFER GRILLES	U90
U90/370	RANGE HOODS	U90
U90/380	ROOM EXTRACT GRILLES	U90
U90/400	CEILING SWEEP FANS	U90
U90/410	MULTIPOINT VENTILATION FAN UNITS	U90
U90/413	VENTILATION FAN UNITS	U90
U90/417	WHOLE HOUSE VENTILATION FAN UNITS	U90
U90/420	FLEXIBLE DUCTWORK AND FITTINGS	U90
U90/425	RIGID DUCTWORK AND FITTINGS	U90
U90/430	CONDENSATION TRAPS	U90
U90/440	DAMPERS, AUTOMATIC	U90
U90/443	DAMPERS, FIRE	U90
U90/447	DAMPERS, MANUAL	U90
U90/450	IN-LINE FILTER UNITS	U90
U90/460	NON-RETURN VALVES	U90
U90/470	PASSIVE HEAT EXCHANGERS	U90
U90/480	SILENCERS	U90
U90/490	SITE APPLIED INSULATION TO DUCTWORK	U90
U90/500	INLET PLENUM BOXES/ GRILLES	U90
U90/505	SUPPLY AIR DIFFUSERS	U90
U90/510	EXTERNAL EXHAUST GRILLES	U90
U90/520	ROOF RIDGE EXHAUST TERMINALS	U90
U90/525	ROOF SLOPE EXHAUST TERMINALS	U90
U90/530	FAN CONTROLLER UNITS	U90
U90/540	PULL CORD SWITCHES	U90
U90/545	PULL CORD SWITCHES WITH OVERRUN DEVICE	U90
U90/550	SENSORS, AIR QUALITY	U90
U90/560	SENSORS, HUMIDITY	U90
U90/570	SENSORS, PROXIMITY	U90
U90/580	SENSORS, THERMAL	U90
U90/610	PASSIVE STACK VENTILATION SYSTEMS	U90
U90/620	INSTALLING VENTILATORS FOR HEAT APPLIANCES	U90
U90/630	INSTALLING CEILING SWEEP FANS	U90
U90/640	INSTALLING MULTIPOINT AND WHOLE HOUSE FANS	U90
U90/650	INSTALLING VENTILATION FANS	U90
U90/660	FLEXIBLE DUCTWORK	U90
U90/670	RIGID DUCTWORK GENERALLY	U90
U90/680	INSTALLING CONDENSATE DRAINS	U90
U90/690	SITE APPLIED INSULATION	U90
U90/910	COMMISSIONING	U90
U90/920	OPERATION AND MAINTENANCE	U90
V	ELECTRICAL SYSTEMS
V10	HIGH VOLTAGE CONNECTION	V
V10/110	INCOMING ELECTRICITY SUPPLY	V10
V10/120	ELECTRICITY DISTRIBUTOR	V10
V10/130	ELECTRICITY SUPPLIER	V10
V10/210	DESIGN	V10
V10/220	SUPPLY CHARACTERISTICS	V10
V10/610	STRIPPING OUT	V10
V10/620	ISOLATION OF SUPPLY	V10
V10/630	MANAGEMENT	V10
V10/640	LOCATION	V10
V10/650	CONNECTION TO THE INCOMING SUPPLY	V10
V11	LOW VOLTAGE CONNECTION	V
